config info:  --epsilon_partition 0.25 --delta_partition 0.12 --method nlogn  --threshold 8 --threshold_lower_limit 4 --epsilon_partition_upper_limit 1.2 --convergence_limit 0.001
circuit, time, probability
10sk_1_46, 5.19, 0.007682
17sk_3_45, 13.43, 0.003906
19sk_3_48, 16.84, 0.005094
20sk_1_51, 14.29, 0.008108
29sk_3_45, 20.35, 0.007487
27sk_3_32, 1.284, 0.007576
30sk_5_76, 28.78, 0.0004796
32sk_4_38, 5.768, 0.003906
51sk_4_38, 5.285, 0.004616
54sk_12_97, 68.82, 2.146e-05
107sk_3_90, 23.23, 8.719e-06
s298_3_2, 0.08078, 0.25
s526_3_2, 2.883, 0.2491
s641_15_7, 4.664, 0.6042
s838_15_7, 5.463, 0.5066
s1238a_3_2, 5.004, 0.5578
s1238a_15_7, 1.97, 0.3905
s1423a_3_2, 5.113, 0.5418
blasted_case_0_b12_1, 8.688, 0.00762
blasted_case_1_b12_even2, 13.8, 0.1183
blasted_case_2_b12_1, 7.947, 0.007576
blasted_case_2_b14_3, 3.528, 0.1316
blasted_case_3_b14_1, 7.463, 0.1212
blasted_case6, 4.702, 3.099e-06
blasted_case17, 1.621, 0.1111
blasted_case34, 7.884, 0.1191
blasted_squaring3, 2.695, 3.234e-12
blasted_squaring51, 1.141, 1.645e-05
phi6_40, 7.558, 0.8696
phi12_10, 7.072, 0.3846
phi12_40, 14.65, 0.1444
