epsilon_original 2, delta_original 0.4
circuit, time, probability
10sk_1_46, 0.1592, 0.008057
17sk_3_45, 0.4897, 0.007812
19sk_3_48, 0.5274, 0.005127
20sk_1_51, 1.007, 0.009033
29sk_3_45, 0.5409, 0.005859
27sk_3_32, 0.1044, 0.007812
30sk_5_76, 1.989, 0.000946
32sk_4_38, 0.1547, 0.003906
51sk_4_38, 0.195, 0.005127
54sk_12_97, 2.743, 2.766e-05
107sk_3_90, 0.5185, 7.629e-06
s298_3_2, 0.04073, 0.25
s526_3_2, 0.06445, 0.25
s641_15_7, 0.3229, 0.5938
s838_15_7, 0.4562, 0.5156
s1238a_3_2, 0.1313, 0.6562
s1238a_15_7, 0.1624, 0.4531
s1423a_3_2, 0.6857, 0.9375
blasted_case_0_b12_1, 0.1577, 0.01172
blasted_case_1_b12_even2, 2.316, 0.125
blasted_case_2_b12_1, 0.157, 0.01172
blasted_case_2_b14_3, 0.1519, 0.125
blasted_case_3_b14_1, 0.1621, 0.125
blasted_case6, 0.3308, 7.629e-06
blasted_case17, 0.02886, 0.1367
blasted_case34, 0.1585, 0.1211
blasted_squaring3, 3.06, 1.455e-11
blasted_squaring51, 0.4834, 3.695e-06
phi6_40, 0.8666, 0.9375
phi12_10, 0.1145, 0.4844
phi12_40, 1.029, 0.1367
