epsilon_original 0.1, delta_original 0.1,
circuit, time, probability
10sk_1_46,34.31,0.007683
17sk_3_45,53.14,0.003906
19sk_3_48,55.11,0.005241
20sk_1_51,85.77,0.00824
29sk_3_45,71.81,0.004944
27sk_3_32,14.35,0.007812
30sk_5_76,202.8,0.0008564
32sk_4_38,23.25,0.003906
51sk_4_38,30.57,0.004761
54sk_12_97,252.5,2.17E-05
107sk_3_90,110.3,7.63E-06
s298_3_2,4.456,0.25
s526_3_2,11.68,0.25
s641_15_7,68.41,0.5801
s838_15_7,91.99,0.5
s1238a_3_2,23.52,0.5752
s1238a_15_7,23.04,0.4106
s1423a_3_2,197.2,0.5586
blasted_case_0_b12_1,24.45,0.007812
blasted_case_1_b12_even2,477.9,0.125
blasted_case_2_b12_1,24.35,0.007812
blasted_case_2_b14_3,29.85,0.125
blasted_case_3_b14_1,36.98,0.125
blasted_case6,52.05,3.81E-06
blasted_case17,1.116,0.125
blasted_case34,28.79,0.125
blasted_squaring3,195.8,1.45E-11
blasted_squaring51,36.44,3.79E-06
phi6_40,151.7,0.8818
phi12_10,12.27,0.3789
phi12_40,227.9,0.1418
